Word,Count,Term 1,Term 2,Term 3,Term 4,Term 5,Term 6,Term 7
round,5,round of drinks,helping (generic term),portion (generic term),serving (generic term),,,
round,5,cut of beef (generic term),,,,,,
round,5,troll,partsong (generic term),,,,,
round,5,applause (generic term),hand clapping (generic term),clapping (generic term),,,,
round,5,rung,stave,crosspiece (generic term),,,,
round,5,circle,rotating mechanism (generic term),,,,,
round,5,travel (generic term),go (generic term),move (generic term),locomote (generic term),,,
round,5,round out,round off,shape (generic term),form (generic term),,,
round,5,surround,environ,encircle,circle,ring,hold (generic term),bear (generic term)
round,5,labialize,labialise,pronounce (generic term),articulate (generic term),enounce (generic term),sound out (generic term),enunciate (generic term)
round,5,attack,assail,lash out,snipe,assault,knock (generic term),criticize (generic term)
round,5,polish,round off,polish up,brush up,perfect (generic term),hone (generic term),
round,5,round off,round down,round out,change (generic term),alter (generic term),modify (generic term),
round,5,flesh out,fill out,gain (generic term),put on (generic term),,,
round,5,around,,,,,,
rouse,5,bestir,be active (generic term),move (generic term),,,,
rouse,5,rout out,drive out,force out,move (generic term),displace (generic term),,
rouse,5,agitate,turn on,charge,commove,excite,charge up,disturb (generic term)
rouse,5,awaken,wake,waken,wake up,arouse,change (generic term),alter (generic term)
route,5,path,itinerary,line (generic term),,,,
route,5,road,way (generic term),,,,,
route,5,dispatch (generic term),despatch (generic term),send off (generic term),,,,
route,5,send (generic term),direct (generic term),,,,,
route,5,divert (generic term),,,,,,
rover,5,wanderer,roamer,bird of passage,traveler (generic term),traveller (generic term),,
rover,5,scouter,Boy Scout (generic term),,,,,
rowan,5,rowan tree,European mountain ash,Sorbus aucuparia,mountain ash (generic term),,,
rowdy,5,raucous,disorderly (similar term),,,,,
rowdy,5,bully,tough,hooligan,ruffian,roughneck,yob,yobo
rowel,5,wheel (generic term),,,,,,
rower,5,oarsman,boatman (generic term),boater (generic term),waterman (generic term),,,
royal,5,ruler,swayer,head of state,chief of state (related term),,,
royal,5,house (related term),,,,,,
royal,5,noble (similar term),,,,,,
royal,5,imperial,majestic,purple,regal,noble (similar term),,
royal,5,crowned (similar term),,,,,,
royal,5,sail (generic term),canvas (generic term),canvass (generic term),sheet (generic term),,,
royal,5,royal stag,stag (generic term),,,,,
rubel,5,Belarusian monetary unit (generic term),,,,,,
rubia,5,Rubia,genus Rubia,asterid dicot genus (generic term),,,,
ruble,5,Tajikistani monetary unit (generic term),,,,,,
ruble,5,rouble,Russian monetary unit (generic term),,,,,
rubor,5,inflammation,redness,symptom (generic term),,,,
rubus,5,Rubus,genus Rubus,rosid dicot genus (generic term),,,,
ruddy,5,rubicund,florid,sanguine,healthy (similar term),,,
ruddy,5,red,reddish,blood-red,carmine,cerise,cherry,cherry-red
rudra,5,Rudra,Hindu deity (generic term),,,,,
rugby,5,rugby football,rugger,football (generic term),football game (generic term),,,
ruled,5,subordinate (similar term),,,,,,
ruler,5,rule,measuring stick (generic term),measure (generic term),measuring rod (generic term),,,
ruler,5,swayer,person (generic term),individual (generic term),someone (generic term),somebody (generic term),mortal (generic term),soul (generic term)
rumba,5,rhumba,dance music (generic term),danceroom music (generic term),ballroom music (generic term),,,
rumba,5,rhumba,folk dancing (generic term),folk dance (generic term),,,,
rumba,5,rhumba,ballroom dancing (generic term),ballroom dance (generic term),,,,
rumba,5,rhumba,dance (generic term),trip the light fantastic (generic term),trip the light fantastic toe (generic term),,,
rumen,5,first stomach,stomach (generic term),tummy (generic term),tum (generic term),breadbasket (generic term),,
rumex,5,Rumex,genus Rumex,dicot genus (generic term),magnoliopsid genus (generic term),,,
rummy,5,curious,funny,odd,peculiar,queer,rum,singular
rummy,5,drunkard,drunk,sot,inebriate,wino,drinker (generic term),imbiber (generic term)
rummy,5,rum,card game (generic term),cards (generic term),,,,
rumor,5,rumour,hearsay,gossip (generic term),comment (generic term),scuttlebutt (generic term),,
rumor,5,rumour,bruit,dish the dirt (generic term),gossip (generic term),,,
runch,5,jointed charlock,wild radish,wild rape,Raphanus raphanistrum,weed (generic term),,
runic,5,character,grapheme,graphic symbol (related term),,,,
runny,5,fluid,liquid (similar term),,,,,
runty,5,pint-size,pint-sized,sawed-off,sawn-off,short (similar term),,
runty,5,puny,shrimpy,small (similar term),little (similar term),,,
runup,5,run-up,increase (generic term),,,,,
rupee,5,Sri Lanka rupee,Sri Lankan monetary unit (generic term),,,,,
rupee,5,Seychelles rupee,Seychelles monetary unit (generic term),,,,,
rupee,5,Nepalese rupee,Nepalese monetary unit (generic term),,,,,
rupee,5,Mauritian rupee,Mauritian monetary unit (generic term),,,,,
rupee,5,Pakistani rupee,Pakistani monetary unit (generic term),,,,,
rupee,5,Indian rupee,Indian monetary unit (generic term),,,,,
rural,5,agrarian (similar term),agricultural (similar term),farming (similar term),agrestic (similar term),rustic (similar term),arcadian (similar term),bucolic (similar term)
rural,5,geographical area,geographic area,geographical region,geographic region (related term),,,
rushy,5,wooded (similar term),,,,,,
rusty,5,rusted (similar term),,,,,,
rusty,5,rust,rust-brown,chromatic (similar term),,,,
rusty,5,out of practice,unskilled (similar term),,,,,
rusty,5,hoary,old (similar term),,,,,
rutty,5,rutted,furrowed (similar term),,,,,
saale,5,Saale,Saale River,river (generic term),,,,
saame,5,Lapp,Lapplander,Sami,Saami,Same,Saame,European (generic term)
saame,5,Lapp,Sami,Saami,Same,Saame,Lappic (generic term),Lappish (generic term)
saami,5,Lapp,Lapplander,Sami,Saami,Same,Saame,European (generic term)
saami,5,Lapp,Sami,Saami,Same,Saame,Lappic (generic term),Lappish (generic term)
sabah,5,Sabah,North Borneo,district (generic term),territory (generic term),territorial dominion (generic term),dominion (generic term),
sabal,5,Sabal,genus Sabal,monocot genus (generic term),liliopsid genus (generic term),,,
saber,5,sabre,fencing sword (generic term),,,,,
saber,5,cavalry sword,sabre,sword (generic term),blade (generic term),brand (generic term),steel (generic term),
saber,5,sabre,cut (generic term),,,,,
saber,5,sabre,kill (generic term),,,,,
sabin,5,absorption unit (generic term),,,,,,
sabin,5,Sabin,Albert Sabin,Albert Bruce Sabin,microbiologist (generic term),,,
sable,5,achromatic (similar term),,,,,,
sable,5,sable brush,sable's hair pencil,brush (generic term),,,,
sable,5,fur (generic term),pelt (generic term),,,,,
sable,5,coal black,ebony,jet black,pitch black,soot black,black (generic term),blackness (generic term)
sable,5,scarf (generic term),,,,,,
sable,5,Martes zibellina,marten (generic term),marten cat (generic term),,,,
sabot,5,wooden shoe,shoe (generic term),,,,,
sabot,5,clog,geta,patten,footwear (generic term),footgear (generic term),,
sabra,5,Israeli (generic term),,,,,,
sabre,5,saber,fencing sword (generic term),,,,,
sabre,5,cavalry sword,saber,sword (generic term),blade (generic term),brand (generic term),steel (generic term),
sabre,5,saber,cut (generic term),,,,,
sabre,5,saber,kill (generic term),,,,,
sacco,5,Sacco,Nicola Sacco,anarchist (generic term),nihilist (generic term),syndicalist (generic term),,
sadat,5,Sadat,Anwar Sadat,Anwar el-Sadat,statesman (generic term),solon (generic term),national leader (generic term),
sadhe,5,letter (generic term),letter of the alphabet (generic term),alphabetic character (generic term),,,,
sadhu,5,saddhu,Hindu (generic term),Hindoo (generic term),,,,
sadly,5,unhappily,happily (antonym),,,,,
sadly,5,deplorably,lamentably,woefully,,,,
safar,5,Safar,Saphar,Islamic calendar month (generic term),,,,
sahib,5,European (generic term),,,,,,
saida,5,Sayda,Saida,Sidon,city (generic term),metropolis (generic term),urban center (generic term),
saiga,5,Saiga tatarica,antelope (generic term),,,,,
saint,5,deity (generic term),divinity (generic term),god (generic term),immortal (generic term),,,
saint,5,holy man,holy person,angel,good person (generic term),,,
saint,5,ideal,paragon,nonpareil,apotheosis,nonesuch,nonsuch,model (generic term)
saint,5,enshrine,reverence (generic term),fear (generic term),revere (generic term),venerate (generic term),,
saint,5,canonize,canonise,declare (generic term),adjudge (generic term),hold (generic term),,
sakti,5,Shakti,Sakti,Hindu deity (generic term),,,,
salad,5,dish (generic term),,,,,,
salah,5,salat,salaat,salaah,pillar of Islam (generic term),worship (generic term),,
salai,5,Boswellia serrata,incense tree (generic term),,,,,
salal,5,shallon,Gaultheria shallon,shrub (generic term),bush (generic term),,,
salat,5,salaat,salah,salaah,pillar of Islam (generic term),worship (generic term),,
salem,5,Salem,capital of Oregon,state capital (generic term),,,,
salem,5,Salem,city (generic term),metropolis (generic term),urban center (generic term),,,
salem,5,Salem,city (generic term),metropolis (generic term),urban center (generic term),,,
sales,5,gross sales,gross revenue,income (generic term),,,,
salim,5,Sanchez,Ilich Sanchez,Ilich Ramirez Sanchez,Carlos,Carlos the Jackal,Salim,Andres Martinez
salix,5,Salix,genus Salix,hamamelid dicot genus (generic term),,,,
sally,5,wisecrack,crack,quip,remark (generic term),comment (generic term),,
sally,5,sortie,military action (generic term),action (generic term),,,,
sally,5,sallying forth,venture (generic term),,,,,
salmi,5,ragout (generic term),,,,,,
salmo,5,Salmo,genus Salmo,fish genus (generic term),,,,
salol,5,phenyl salicylate,salicylate (generic term),,,,,
salon,5,gallery (generic term),art gallery (generic term),picture gallery (generic term),,,,
salon,5,beauty salon,beauty parlor,beauty parlour,beauty shop,shop (generic term),store (generic term),
salon,5,living room (generic term),living-room (generic term),sitting room (generic term),front room (generic term),parlor (generic term),parlour (generic term),
salpa,5,salp,tunicate (generic term),urochordate (generic term),urochord (generic term),,,
salsa,5,condiment (generic term),,,,,,
salty,5,piquant,stimulating (similar term),,,,,
salty,5,brackish (similar term),briny (similar term),saliferous (similar term),saline (similar term),saltish (similar term),tasty (related term),fresh (antonym)
salty,5,salt,tasty (similar term),,,,,
salve,5,ointment,unction,unguent,balm,remedy (generic term),curative (generic term),cure (generic term)
salve,5,redress (generic term),remedy (generic term),remediation (generic term),,,,
salve,5,salvage,relieve,save,rescue (generic term),deliver (generic term),,
salve,5,medicate (generic term),medicine (generic term),,,,,
salvo,5,outburst (generic term),burst (generic term),flare-up (generic term),,,,
salvo,5,fusillade,volley,burst,fire (generic term),firing (generic term),,
salvo,5,cheer (generic term),,,,,,
saman,5,rain tree,monkeypod,monkey pod,zaman,zamang,Albizia saman,albizzia (generic term)
samba,5,obeche,obechi,arere,Triplochiton scleroxcylon,tree (generic term),,
samba,5,dance music (generic term),danceroom music (generic term),ballroom music (generic term),,,,
samba,5,ballroom dancing (generic term),ballroom dance (generic term),,,,,
samba,5,canasta (generic term),basket rummy (generic term),meld (generic term),,,,
samba,5,dance (generic term),trip the light fantastic (generic term),trip the light fantastic toe (generic term),,,,
samia,5,Samia,genus Samia,arthropod genus (generic term),,,,
samoa,5,Samoa,Independent State of Samoa,Western Samoa,Samoa i Sisifo,country (generic term),state (generic term),land (generic term)
samoa,5,Samoa,Samoan Islands,island (generic term),,,,
sanaa,5,Sana,Sanaa,Sana'a,national capital (generic term),,,
sands,5,littoral,litoral,littoral zone,seashore (generic term),coast (generic term),seacoast (generic term),sea-coast (generic term)
sandy,5,friable,light,loose (similar term),,,,
sandy,5,flaxen,blond (similar term),blonde (similar term),light-haired (similar term),,,
sandy,5,arenaceous,sandlike,argillaceous (antonym),,,,
sandy,5,beachy (similar term),beachlike (similar term),,,,,
sango,5,Sango,Niger-Congo (generic term),,,,,
santa,5,Santa Claus,Santa,Kriss Kringle,Father Christmas,Saint Nick,St. Nick,patron saint (generic term)
saone,5,Saone,Saone River,river (generic term),,,,
sapid,5,flavorful,flavourful,flavorous,flavourous,flavorsome,flavoursome,saporous
sapir,5,Sapir,Edward Sapir,anthropologist (generic term),linguist (generic term),linguistic scientist (generic term),,
sappy,5,cockamamie,cockamamy,goofy,silly,wacky,whacky,zany
sappy,5,juicy (similar term),,,,,,
sarah,5,Sarah,wife (generic term),married woman (generic term),,,,
saran,5,thermoplastic (generic term),thermoplastic resin (generic term),,,,,
sarda,5,Sarda,genus Sarda,fish genus (generic term),,,,
saree,5,sari,dress (generic term),frock (generic term),,,,
sarin,5,GB,organophosphate nerve agent (generic term),,,,,
sassy,5,fresh,impertinent,impudent,overbold,smart,saucy,wise
satan,5,Satan,Old Nick,Devil,Lucifer,Beelzebub,the Tempter,Prince of Darkness
sated,5,gorged,surfeited,satiate (similar term),satiated (similar term),,,
satie,5,Satie,Erik Satie,Erik Alfred Leslie Satie,composer (generic term),,,
satin,5,fabric (generic term),cloth (generic term),material (generic term),textile (generic term),,,
satyr,5,lecher,lech,letch,pervert (generic term),deviant (generic term),deviate (generic term),degenerate (generic term)
satyr,5,forest god,Greek deity (generic term),,,,,
sauce,5,condiment (generic term),,,,,,
sauce,5,act (generic term),behave (generic term),do (generic term),,,,
sauce,5,season (generic term),flavor (generic term),flavour (generic term),,,,
sauce,5,change (generic term),alter (generic term),modify (generic term),,,,
saucy,5,impertinent,irreverent,pert,spirited (similar term),,,
saucy,5,fresh,impertinent,impudent,overbold,smart,sassy,wise
saudi,5,Saudi-Arabian,Saudi,Asian country,Asian nation (related term),,,
saudi,5,Saudi,Saudi Arabian,Arab (generic term),Arabian (generic term),,,
sauna,5,sweat room,steam bath (generic term),steam room (generic term),vapor bath (generic term),vapour bath (generic term),,
saury,5,billfish,Scomberesox saurus,teleost fish (generic term),teleost (generic term),teleostan (generic term),,
saute,5,sauteed,cooked (similar term),,,,,
saute,5,dish (generic term),,,,,,
saute,5,fry (generic term),,,,,,
saved,5,blessed (similar term),ransomed (similar term),rescued (similar term),reclaimed (similar term),ransomed (similar term),redeemed (similar term),salvageable (similar term)
saved,5,protected,preserved (similar term),,,,,
saver,5,rescuer,recoverer,person (generic term),individual (generic term),someone (generic term),somebody (generic term),mortal (generic term)
saver,5,owner (generic term),possessor (generic term),,,,,
savin,5,dwarf juniper,Juniperus sabina,juniper (generic term),,,,
savor,5,relish,flavor,flavour,sapidity,savour,smack,nip
savor,5,enjoy,bask,relish,savour,,,
savor,5,taste,savour,,,,,
savor,5,savour,taste (generic term),,,,,
savor,5,savour,season (generic term),flavor (generic term),flavour (generic term),,,
savoy,5,Savoy,geographical area (generic term),geographic area (generic term),geographical region (generic term),geographic region (generic term),,
savoy,5,savoy cabbage,head cabbage (generic term),,,,,
savvy,5,understanding,apprehension,discernment,knowing (generic term),,,
savvy,5,grok,get the picture,comprehend,dig,grasp,compass,apprehend
sawan,5,Sawan,Sravana,Hindu calendar month (generic term),,,,
saxon,5,Saxon,European (related term),,,,,
saxon,5,Saxon,European (generic term),,,,,
sayda,5,Sayda,Saida,Sidon,city (generic term),metropolis (generic term),urban center (generic term),
scads,5,tons,dozens,heaps,lots,mountain,piles,scores
scald,5,burn (generic term),,,,,,
scald,5,burn (generic term),,,,,,
scald,5,blister,whip,attack (generic term),round (generic term),assail (generic term),lash out (generic term),snipe (generic term)
scald,5,process (generic term),treat (generic term),,,,,
scald,5,heat (generic term),heat up (generic term),,,,,
scald,5,burn (generic term),,,,,,
scale,5,scale of measurement,graduated table,ordered series,standard (generic term),criterion (generic term),measure (generic term),touchstone (generic term)
scale,5,magnitude relation (generic term),quantitative relation (generic term),,,,,
scale,5,proportion (generic term),,,,,,
scale,5,indicator (generic term),,,,,,
scale,5,scale leaf,leaf (generic term),leafage (generic term),foliage (generic term),,,
scale,5,scurf,exfoliation,bit (generic term),chip (generic term),flake (generic term),fleck (generic term),scrap (generic term)
scale,5,musical scale,musical notation (generic term),,,,,
scale,5,weighing machine,measuring instrument (generic term),measuring system (generic term),measuring device (generic term),,,
scale,5,plate,shell,shield (generic term),,,,
scale,5,covering (generic term),natural covering (generic term),cover (generic term),,,,
scale,5,measure (generic term),,,,,,
scale,5,model (generic term),pattern (generic term),,,,,
scale,5,take (generic term),,,,,,
scale,5,surmount,reach (generic term),make (generic term),attain (generic term),hit (generic term),arrive at (generic term),gain (generic term)
scale,5,climb (generic term),climb up (generic term),mount (generic term),go up (generic term),,,
scale,5,descale,remove (generic term),take (generic term),take away (generic term),withdraw (generic term),,
scale,5,quantify (generic term),measure (generic term),,,,,
scale,5,size (generic term),,,,,,
scalp,5,skin (generic term),tegument (generic term),cutis (generic term),,,,
scalp,5,sell (generic term),,,,,,
scalp,5,remove (generic term),take (generic term),take away (generic term),withdraw (generic term),,,
scaly,5,lepidote,leprose,scabrous,scurfy,rough (similar term),unsmooth (similar term),
scaly,5,scaley,scaled,armored (similar term),armoured (similar term),,,
scamp,5,imp,monkey,rascal,rapscallion,scalawag,scallywag,child (generic term)
scamp,5,perform (generic term),execute (generic term),do (generic term),,,,
scant,5,light,short,insufficient (similar term),deficient (similar term),,,
scant,5,skimp,work (generic term),skimp over (related term),,,,
scant,5,skimp,restrict (generic term),,,,,
scant,5,stint,skimp,supply (generic term),provide (generic term),render (generic term),furnish (generic term),
scape,5,flower stalk,stalk (generic term),stem (generic term),,,,
scape,5,shaft,upright (generic term),vertical (generic term),,,,
scare,5,panic,anxiety (generic term),anxiousness (generic term),,,,
scare,5,panic attack,fear (generic term),fearfulness (generic term),fright (generic term),,,
scare,5,frighten,fright,affright,stimulate (generic term),shake (generic term),shake up (generic term),excite (generic term)
scare,5,daunt,dash,scare off,pall,frighten off,scare away,frighten away
scarf,5,garment (generic term),,,,,,
scarf,5,scarf joint,joint (generic term),,,,,
scarf,5,masturbate (generic term),wank (generic term),she-bop (generic term),jack off (generic term),jerk off (generic term),,
scarf,5,join (generic term),bring together (generic term),,,,,
scarf,5,wear (generic term),put on (generic term),get into (generic term),don (generic term),assume (generic term),,
scarp,5,escarpment,slope (generic term),incline (generic term),side (generic term),,,
scarp,5,escarpment,escarp,protective embankment,fortification (generic term),munition (generic term),,
scary,5,chilling,scarey,shivery,shuddery,alarming (similar term),,
scaup,5,scaup duck,bluebill,broadbill,duck (generic term),,,
scend,5,surge,rise (generic term),lift (generic term),arise (generic term),move up (generic term),go up (generic term),come up (generic term)
scene,5,area (generic term),country (generic term),,,,,
scene,5,incident (generic term),,,,,,
scene,5,view,aspect,prospect,vista,panorama,visual percept (generic term),visual image (generic term)
scene,5,shot,photograph (generic term),photo (generic term),exposure (generic term),pic (generic term),,
scene,5,picture,situation (generic term),state of affairs (generic term),,,,
scene,5,dramatic composition (generic term),dramatic work (generic term),,,,,
scene,5,fit,tantrum,conniption,bad temper (generic term),ill temper (generic term),,
scene,5,view,graphic art (generic term),,,,,
scene,5,setting,environment (generic term),environs (generic term),surroundings (generic term),surround (generic term),,
scene,5,scenery,stage set (generic term),set (generic term),,,,
scent,5,aroma,fragrance,perfume,smell (generic term),odor (generic term),odour (generic term),olfactory sensation (generic term)
scent,5,smell (generic term),odor (generic term),odour (generic term),olfactory sensation (generic term),olfactory perception (generic term),,
scent,5,olfactory property,smell,aroma,odor,odour,property (generic term),
scent,5,odorize,odourise,cause to be perceived (generic term),deodourise (antonym),deodorize (antonym),,
scent,5,nose,wind,smell (generic term),scent out (related term),,,
scent,5,perfume,groom (generic term),neaten (generic term),,,,
schmo,5,schmuck,shmuck,shmo,jerk (generic term),dork (generic term),,
schwa,5,shwa,vowel (generic term),vowel sound (generic term),,,,
scion,5,descendant (generic term),descendent (generic term),,,,,
scoff,5,jeer,jeering,mockery,scoffing,derision (generic term),,
scoff,5,jeer,flout,barrack,gibe,tease (generic term),razz (generic term),rag (generic term)
scoff,5,flout,dismiss (generic term),disregard (generic term),brush aside (generic term),brush off (generic term),discount (generic term),push aside (generic term)
scoke,5,poke,pigeon berry,garget,Phytolacca americana,pokeweed (generic term),,
scold,5,scolder,nag,nagger,common scold,unpleasant person (generic term),disagreeable person (generic term),
scold,5,call on the carpet,take to task,rebuke,rag,trounce,reproof,lecture
scold,5,grouch,grumble,complain (generic term),kick (generic term),plain (generic term),sound off (generic term),quetch (generic term)
scone,5,quick bread (generic term),,,,,,
scoop,5,scoopful,containerful (generic term),,,,,
scoop,5,pocket,concave shape (generic term),concavity (generic term),incurvation (generic term),incurvature (generic term),,
scoop,5,exclusive,report (generic term),news report (generic term),story (generic term),account (generic term),write up (generic term),
scoop,5,soap,max,liquid ecstasy,grievous bodily harm,goop,Georgia home boy,easy lay
scoop,5,scoop shovel,shovel (generic term),,,,,
scoop,5,ladle (generic term),,,,,,
scoop,5,scoop out,lift out,scoop up,take up,remove (generic term),take (generic term),take away (generic term)
scoop,5,outdo,outflank,trump,best,beat (generic term),beat out (generic term),crush (generic term)
scoot,5,dart,dash,scud,flash,shoot,rush (generic term),hotfoot (generic term)
scope,5,range,reach,orbit,compass,ambit,extent (generic term),
scope,5,setting,background,environment (generic term),,,,
scope,5,telescope,magnifier (generic term),,,,,
scope,5,oscilloscope,cathode-ray oscilloscope,CRO,electronic equipment (generic term),,,
score,5,mark,grade,evaluation (generic term),valuation (generic term),rating (generic term),,
score,5,musical score,sheet music (generic term),,,,,
score,5,number (generic term),,,,,,
score,5,set (generic term),,,,,,
score,5,account,reason (generic term),ground (generic term),,,,
score,5,fact (generic term),,,,,,
score,5,debt (generic term),,,,,,
score,5,scotch,incision (generic term),scratch (generic term),prick (generic term),slit (generic term),dent (generic term),
score,5,grudge,grievance,resentment (generic term),bitterness (generic term),gall (generic term),rancor (generic term),rancour (generic term)
score,5,success (generic term),,,,,,
score,5,sexual conquest,seduction (generic term),conquest (generic term),,,,
score,5,hit,tally,rack up,gain (generic term),advance (generic term),win (generic term),pull ahead (generic term)
score,5,nock,mark,notch (generic term),,,,
score,5,mark,record (generic term),enter (generic term),put down (generic term),,,
score,5,compose (generic term),write (generic term),,,,,
score,5,seduce,make,persuade (generic term),,,,
score,5,achieve (generic term),accomplish (generic term),attain (generic term),reach (generic term),,,
score,5,grade,mark,measure (generic term),evaluate (generic term),valuate (generic term),assess (generic term),appraise (generic term)
scorn,5,contempt,disdain,despite,dislike (generic term),,,
scorn,5,contempt,disrespect (generic term),discourtesy (generic term),,,,
scorn,5,contemn,despise,disdain,hate (generic term),detest (generic term),,
scorn,5,reject,spurn,freeze off,pooh-pooh,disdain,turn down,refuse (generic term)
scots,5,Scots,Scottish,Scotch,European country,European nation (related term),,
scots,5,Scottish,Scots,Scots English,English (generic term),English language (generic term),,
scott,5,Scott,George C. Scott,actor (generic term),histrion (generic term),player (generic term),thespian (generic term),role player (generic term)
scott,5,Scott,Robert Scott,Robert Falcon Scott,explorer (generic term),adventurer (generic term),,
scott,5,Scott,Winfield Scott,general (generic term),full general (generic term),,,
scott,5,Scott,Walter Scott,Sir Walter Scott,writer (generic term),author (generic term),,
scott,5,Scott,Dred Scott,slave (generic term),,,,
scour,5,topographic point (generic term),place (generic term),spot (generic term),,,,
scour,5,search (generic term),seek (generic term),look for (generic term),,,,
scour,5,scrub,rub (generic term),,,,,
scour,5,abrade,rub (generic term),,,,,
scour,5,flush,purge,rinse (generic term),rinse off (generic term),,,
scout,5,lookout,lookout man,sentinel,sentry,watch,spotter,picket
scout,5,Scout,male child (generic term),boy (generic term),female child (generic term),girl (generic term),little girl (generic term),
scout,5,talent scout,recruiter (generic term),,,,,
scout,5,pathfinder,guide,expert (generic term),,,,
scout,5,reconnoiter,reconnoitre,observe (generic term),,,,
scowl,5,frown,facial expression (generic term),facial gesture (generic term),,,,
scowl,5,frown (generic term),glower (generic term),lour (generic term),lower (generic term),,,
scrag,5,thin person,skin and bones,person (generic term),individual (generic term),someone (generic term),somebody (generic term),mortal (generic term)
scrag,5,cut of mutton (generic term),,,,,,
scrag,5,scrag end,cut of veal (generic term),,,,,
scrag,5,garrote,garrotte,garotte,strangle (generic term),strangulate (generic term),throttle (generic term),
scrag,5,choke,compress (generic term),constrict (generic term),squeeze (generic term),compact (generic term),contract (generic term),press (generic term)
scram,5,buzz off,get,bugger off,leave (generic term),go forth (generic term),go away (generic term),
scrap,5,bit,chip,flake,fleck,fragment (generic term),,
scrap,5,rubbish,trash,waste (generic term),waste material (generic term),waste matter (generic term),waste product (generic term),
scrap,5,piece (generic term),,,,,,
scrap,5,fight,fighting,combat,conflict (generic term),struggle (generic term),battle (generic term),
scrap,5,trash,junk,discard (generic term),fling (generic term),toss (generic term),toss out (generic term),toss away (generic term)
scrap,5,quarrel,dispute,argufy,altercate,argue (generic term),contend (generic term),debate (generic term)
scrap,5,convert (generic term),,,,,,
scree,5,talus,geological formation (generic term),formation (generic term),,,,
screw,5,prison guard,jailer,jailor,gaoler,turnkey,lawman (generic term),law officer (generic term)
screw,5,inclined plane (generic term),,,,,,
screw,5,screw propeller,propeller (generic term),propellor (generic term),,,,
screw,5,fastener (generic term),fastening (generic term),holdfast (generic term),fixing (generic term),,,
screw,5,screwing,ass,nooky,nookie,piece of ass,piece of tail,roll in the hay
screw,5,roll in the hay,love,make out,make love,sleep with,get laid,have sex
screw,5,revolve (generic term),go around (generic term),rotate (generic term),,,,
screw,5,drive in,revolve (generic term),go around (generic term),rotate (generic term),,,
screw,5,tighten (generic term),fasten (generic term),unscrew (antonym),,,,
screw,5,cheat,chouse,shaft,chicane,jockey,beat (generic term),beat out (generic term)
scrim,5,fabric (generic term),cloth (generic term),material (generic term),textile (generic term),,,
scrip,5,security (generic term),certificate (generic term),,,,,
scrod,5,schrod,fish (generic term),,,,,
scrod,5,schrod,cod (generic term),codfish (generic term),,,,
scrub,5,unimproved (similar term),,,,,,
scrub,5,chaparral,bush,vegetation (generic term),flora (generic term),botany (generic term),,
scrub,5,scrubbing,scouring,cleaning (generic term),cleansing (generic term),cleanup (generic term),,
scrub,5,scour,rub (generic term),,,,,
scrub,5,scrub up,wash (generic term),lave (generic term),,,,
scrub,5,cancel,call off,scratch,,,,
scrum,5,scrummage,beginning (generic term),start (generic term),commencement (generic term),,,
scuba,5,aqualung,Aqua-Lung,breathing device (generic term),breathing apparatus (generic term),breathing machine (generic term),ventilator (generic term),
scuff,5,mule,slipper (generic term),carpet slipper (generic term),,,,
scuff,5,rub (generic term),wipe (generic term),,,,,
scuff,5,drag,shuffle (generic term),scuffle (generic term),shamble (generic term),,,
scuff,5,wear (generic term),wear off (generic term),wear out (generic term),wear down (generic term),wear thin (generic term),,
scuff,5,scratch (generic term),scrape (generic term),scratch up (generic term),,,,
scuff,5,kick (generic term),,,,,,
scull,5,oar (generic term),,,,,,
scull,5,oar (generic term),,,,,,
scull,5,shell (generic term),racing shell (generic term),,,,,
scull,5,row (generic term),,,,,,
scurf,5,bit (generic term),chip (generic term),flake (generic term),fleck (generic term),scrap (generic term),,
scurf,5,scale,exfoliation,bit (generic term),chip (generic term),flake (generic term),fleck (generic term),scrap (generic term)
scute,5,protective covering (generic term),,,,,,
seamy,5,seamed (similar term),,,,,,
seamy,5,seedy,sleazy,sordid,squalid,disreputable (similar term),,
seats,5,seating,seating room,seating area,room (generic term),way (generic term),elbow room (generic term),
sebum,5,secretion (generic term),,,,,,
sedan,5,car (generic term),auto (generic term),automobile (generic term),machine (generic term),motorcar (generic term),,
sedan,5,sedan chair,litter (generic term),,,,,
seder,5,Seder,Passover supper,supper (generic term),,,,
sedge,5,marsh plant (generic term),bog plant (generic term),swamp plant (generic term),,,,
sedgy,5,grassy (similar term),,,,,,
sedna,5,Sedna,minor planet (generic term),planetoid (generic term),,,,
sedum,5,herb (generic term),herbaceous plant (generic term),,,,,
seedy,5,black-seeded (similar term),multi-seeded (similar term),several-seeded (similar term),seeded (similar term),seeded (similar term),single-seeded (similar term),one-seeded (similar term)
seedy,5,scruffy,worn (similar term),,,,,
seedy,5,ailing,indisposed,peaked,poorly,sickly,unwell,under the weather
seedy,5,seamy,sleazy,sordid,squalid,disreputable (similar term),,
segal,5,Segal,George Segal,sculptor (generic term),sculpturer (generic term),carver (generic term),statue maker (generic term),
segno,5,musical notation (generic term),,,,,,
segue,5,passage (generic term),transition (generic term),,,,,
segue,5,continue (generic term),go on (generic term),carry on (generic term),proceed (generic term),,,
seine,5,Seine,Seine River,river (generic term),,,,
seine,5,fishnet (generic term),fishing net (generic term),,,,,
seine,5,fish (generic term),,,,,,
seism,5,earthquake,quake,temblor,geological phenomenon (generic term),,,
